feature,importance_mean,importance_std
num18,0.06505261286882336,0.003706726448035901
num19,0.06209395155147028,0.0033933026292814693
num07,0.02983307094611768,0.001878642652299154
num04,0.016317556243969446,0.0018295034930474827
num24,0.015590015743233054,0.0009945955357791659
num14,0.011706464882433687,0.0008088033902173572
num01,0.010827890914631122,0.0009001199999179081
num20,0.009076532425981498,0.00112523881544211
num22,0.007711390990808064,0.0007425940409059651
num17,0.004893657000660278,0.000684558228916402
num06,0.004631354425879974,0.001233868733728213
num13,0.003987049921283925,0.0006548568834687685
num16,0.0038067137270835993,0.0002483852779477164
num21,0.0037266263775329266,0.0005425286510038189
num08,0.003296785333401109,0.0003910430468899493
num02,0.0022377228175309736,0.00036014054184760775
num09,0.00037606012899304986,0.0001587872402954347
num15,0.0002298512010564413,0.0001718837337355798
num03,0.00016758925397398762,0.00011625996619796411
num23,0.00013772789599316714,0.00028276956200199745
cat_payment,7.978264181613959e-05,4.4005073128367236e-05
num10,4.946422223361946e-05,0.00011177929586709951
tenure_months,9.344370524710932e-06,8.250811795070792e-05
cat_region,-1.4930678990332513e-05,6.549294855220441e-05
num11,-7.704027220545306e-05,0.00010732319193604216
num05,-0.00018206287136247613,0.00017627594094203256
num12,-0.00018800467218513806,0.00021499486212027852
cat_contract,-0.0004199888273830221,0.00020501067088331707
